week,idade,vacina,ordem,state,n
2022-01-22,5,Coronavac,1,AC,0
2022-01-22,5,Coronavac,1,AL,0
2022-01-22,5,Coronavac,1,AM,0
2022-01-22,5,Coronavac,1,AP,0
2022-01-22,5,Coronavac,1,BA,0
2022-01-22,5,Coronavac,1,CE,0
2022-01-22,5,Coronavac,1,DF,0
2022-01-22,5,Coronavac,1,ES,0
2022-01-22,5,Coronavac,1,GO,0
2022-01-22,5,Coronavac,1,MA,0
2022-01-22,5,Coronavac,1,MG,0
2022-01-22,5,Coronavac,1,MS,0
2022-01-22,5,Coronavac,1,MT,0
2022-01-22,5,Coronavac,1,PA,0
2022-01-22,5,Coronavac,1,PB,0
2022-01-22,5,Coronavac,1,PE,0
2022-01-22,5,Coronavac,1,PI,0
2022-01-22,5,Coronavac,1,PR,0
2022-01-22,5,Coronavac,1,RJ,0
2022-01-22,5,Coronavac,1,RN,0
2022-01-22,5,Coronavac,1,RO,0
2022-01-22,5,Coronavac,1,RR,0
2022-01-22,5,Coronavac,1,RS,0
2022-01-22,5,Coronavac,1,SC,0
2022-01-22,5,Coronavac,1,SE,0
2022-01-22,5,Coronavac,1,SP,0
2022-01-22,5,Coronavac,1,TO,0
2022-01-22,5,Coronavac,2,AC,0
2022-01-22,5,Coronavac,2,AL,0
2022-01-22,5,Coronavac,2,AM,0
2022-01-22,5,Coronavac,2,AP,0
2022-01-22,5,Coronavac,2,BA,0
2022-01-22,5,Coronavac,2,CE,0
2022-01-22,5,Coronavac,2,DF,0
2022-01-22,5,Coronavac,2,ES,0
2022-01-22,5,Coronavac,2,GO,0
2022-01-22,5,Coronavac,2,MA,0
2022-01-22,5,Coronavac,2,MG,0
2022-01-22,5,Coronavac,2,MS,0
2022-01-22,5,Coronavac,2,MT,0
2022-01-22,5,Coronavac,2,PA,0
2022-01-22,5,Coronavac,2,PB,0
2022-01-22,5,Coronavac,2,PE,0
2022-01-22,5,Coronavac,2,PI,0
2022-01-22,5,Coronavac,2,PR,0
2022-01-22,5,Coronavac,2,RJ,0
2022-01-22,5,Coronavac,2,RN,0
2022-01-22,5,Coronavac,2,RO,0
2022-01-22,5,Coronavac,2,RR,0
2022-01-22,5,Coronavac,2,RS,0
2022-01-22,5,Coronavac,2,SC,0
2022-01-22,5,Coronavac,2,SE,0
2022-01-22,5,Coronavac,2,SP,0
2022-01-22,5,Coronavac,2,TO,0
2022-01-22,5,Coronavac,3,AC,0
2022-01-22,5,Coronavac,3,AL,0
2022-01-22,5,Coronavac,3,AM,0
2022-01-22,5,Coronavac,3,AP,0
2022-01-22,5,Coronavac,3,BA,0
2022-01-22,5,Coronavac,3,CE,0
2022-01-22,5,Coronavac,3,DF,0
2022-01-22,5,Coronavac,3,ES,0
2022-01-22,5,Coronavac,3,GO,0
2022-01-22,5,Coronavac,3,MA,0
2022-01-22,5,Coronavac,3,MG,0
2022-01-22,5,Coronavac,3,MS,0
2022-01-22,5,Coronavac,3,MT,0
2022-01-22,5,Coronavac,3,PA,0
2022-01-22,5,Coronavac,3,PB,0
2022-01-22,5,Coronavac,3,PE,0
2022-01-22,5,Coronavac,3,PI,0
2022-01-22,5,Coronavac,3,PR,0
2022-01-22,5,Coronavac,3,RJ,0
2022-01-22,5,Coronavac,3,RN,0
2022-01-22,5,Coronavac,3,RO,0
